позиция,модель товара (без цвета),объединённые SKU,количество цветов,общее количество проданных единиц,общая выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
1,Шапка взрослая,"1040, 1041, 1131, 1145, 1163, 1189, 1204, 1226, 2126, 2142, 2167, 217, 218, 219, 221, 222, 223, 224, 225, 226, 228, 229, 231, 2317, 232, 235, 237, 238, 2387, 239, 240, 241, 242, 246, 2631, 2653, 274, 2850, 326, 327, 344, 346, 363, 372, 380, 483, 492, 493, 509, 533, 554, 558, 559, 560, 578, 579, 599, 748, 750, 751, 761, 833, 845, 846, 878, 881, 888, 893",68,1050.0,1212108.6,2.8712,2.8712,A,1154.39,363632.58,848476.02,70.0
2,Рубашка женская из тенсела,"1202, 1223, 1224, 2035, 2036, 2043, 2049, 2682, 2683, 2789",10,201.0,1002936.0,2.3757,5.247,A,4989.73,300880.8,702055.2,70.0
3,Джемпер чешуйки оверсайз,"1042, 1152, 1154, 1177, 1227, 1290, 2078, 2144, 2260, 2261",10,89.0,576574.0,1.3658,6.6127,A,6478.36,172972.2,403601.8,70.0
4,Джемпер женский грибочки,"1014, 1192, 2088, 2091, 2229, 2326, 2335, 2560, 2561, 2562, 2564, 983, 985",12,103.0,572722.0,1.3567,7.9694,A,5560.41,171816.6,400905.4,70.0
5,Футболка трикотажная косичка,"1273, 1274, 1275, 1276, 1285, 1333, 2085, 2086, 2087, 2290, 2462, 2481, 2482, 2487, 2497, 2498, 2523",17,232.0,560170.0,1.3269,9.2963,A,2414.53,168051.0,392119.0,70.0
6,Рубашка джинсовая женская,"1188, 1228, 1229, 2438",4,100.0,518723.9,1.2287,10.525,A,5187.24,155617.17,363106.73,70.0
7,Бомбер женский,"2067, 2071, 2073, 2084, 2123",5,40.0,491816.0,1.165,11.69,A,12295.4,147544.8,344271.2,70.0
8,Свитер кострома,"1091, 1107, 1122, 1124, 2139, 2160, 2284, 525, 526, 527, 531, 543, 777",13,129.0,462492.41,1.0955,12.7856,A,3585.21,138747.72,323744.69,70.0
9,Шапка взрослая шерсть,"1027, 1028, 1030, 1118, 2171, 2180, 2181, 2190, 2216, 2234, 2235, 2258, 244, 245, 2548, 2709, 2762, 322, 364, 365, 397, 737, 769, 778, 782, 786, 796, 809",28,287.0,446831.98,1.0584,13.844,A,1556.91,134049.59,312782.39,70.0
10,Шарф взрослый,"1026, 1031, 1034, 1087, 1143, 2108, 2109, 2127, 2159, 2350, 250, 252, 253, 254, 255, 256, 259, 260, 262, 264, 267, 2671, 270, 271, 272, 273, 2826, 391, 392, 393, 394, 395, 402, 422, 430, 561, 562, 607, 732",39,203.0,446327.0,1.0572,14.9013,A,2198.66,133898.1,312428.9,70.0
11,Тренч женский,"1022, 866, 891, 917, 992",5,44.0,432514.0,1.0245,15.9258,A,9829.86,129754.2,302759.8,70.0
12,Юбка мерилин из тенсела,"2724, 2734, 2735, 2736, 2748, 2863, 2864, 2865",8,57.0,430882.0,1.0207,16.9465,A,7559.33,129264.6,301617.4,70.0
13,Палантин трикотажный листочки,"1104, 1157, 1158, 2092, 2146, 2250, 2253, 2254, 2348, 2351, 2352",11,126.0,426183.99,1.0095,17.956,A,3382.41,127855.2,298328.79,70.0
14,Юбка трикотажная ажур листочки,"2400, 2435, 2437, 2440, 2467",5,71.0,415562.0,0.9844,18.9404,A,5852.99,124668.6,290893.4,70.0
15,Джемпер сердечки,"1132, 1153, 1159, 1160, 2298",5,72.0,415268.0,0.9837,19.9241,A,5767.61,124580.4,290687.6,70.0
16,Джемпер грибочки мужской,"1148, 1165, 1234, 2089, 2090, 2563, 2565",7,61.0,402266.0,0.9529,20.8769,A,6594.52,120679.8,281586.2,70.0
17,Брюки трикотаж,"1061, 1112, 481, 515, 516, 551, 81, 82, 88",9,109.0,396082.0,0.9382,21.8152,A,3633.78,118824.6,277257.4,70.0
18,Джинсы-бананы,"2282, 2305, 2328, 2539, 753",5,61.0,364242.6,0.8628,22.678,A,5971.19,109272.78,254969.82,70.0
19,Рубашка из тенсела женская,1212,1,65.0,310482.0,0.7355,23.4134,A,4776.65,93144.6,217337.4,70.0
20,Брюки классика вискоза,"2331, 2333, 2357",3,54.0,297988.0,0.7059,24.1193,A,5518.3,89396.4,208591.6,70.0
21,Кардиган чешуйки жаккард,"2053, 2076, 2077, 2106, 2189",5,47.0,289640.0,0.6861,24.8054,A,6162.55,86892.0,202748.0,70.0
22,Пальто женское оверсайз,"1098, 1099, 2110, 2113, 2119",5,20.0,288832.0,0.6842,25.4896,A,14441.6,86649.6,202182.4,70.0
23,Джемпер чешуйки двусторонний,"911, 912, 940",3,51.0,281731.5,0.6674,26.1569,A,5524.15,84519.45,197212.05,70.0
24,Джемпер в рубчик укороченный,"1237, 1238, 1239, 1240, 1241, 1301, 1302, 1320, 1324, 2061, 2136",11,117.0,281514.1,0.6668,26.8238,A,2406.1,84454.23,197059.87,70.0
25,Шорты льняные,"1322, 1323, 2032, 2037, 2046, 694",6,64.0,278926.0,0.6607,27.4845,A,4358.22,83677.8,195248.2,70.0
26,Блуза с воротом стойка из тенсела,"2641, 2642, 2656, 2694, 2695, 2701, 2704",7,46.0,278065.0,0.6587,28.1432,A,6044.89,83419.5,194645.5,70.0
27,Джемпер джаред оверсайз,"1172, 1222, 1298, 949, 950, 975",6,50.0,266742.0,0.6319,28.775,A,5334.84,80022.6,186719.4,70.0
28,Пальто шерстяное двубортное с поясом,"2134, 2606",2,14.0,259175.0,0.6139,29.389,A,18512.5,77752.5,181422.5,70.0
29,Брюки палаццо вискоза,"1242, 1243, 689, 691, 714, 749, 756, 818",8,60.0,242164.36,0.5736,29.9626,A,4036.07,72649.31,169515.05,70.0
30,Жилет льняной,"1326, 1327, 1328, 2029, 2039, 2042, 2045",7,58.0,240758.0,0.5703,30.5329,A,4151.0,72227.4,168530.6,70.0
31,Брюки палаццо льняные,"1337, 1341, 2031, 2044, 685, 687, 974",7,44.0,238460.0,0.5649,31.0978,A,5419.55,71538.0,166922.0,70.0
32,Джемпер джеки интерлок,"1052, 1149, 211, 2128, 2251, 2259, 2273",7,44.0,232356.0,0.5504,31.6482,A,5280.82,69706.8,162649.2,70.0
33,Юбка трикотажная в рубчик макси,"1303, 1305, 1308, 1309, 1311, 1314, 1319, 2059, 2546",9,79.0,231753.0,0.549,32.1971,A,2933.58,69525.9,162227.1,70.0
34,Жакет прямого кроя с карманами,"2332, 2415",2,26.0,228836.0,0.5421,32.7392,A,8801.38,68650.8,160185.2,70.0
35,Бомбер женский изумрудный в клетку,2070,1,17.0,226055.0,0.5355,33.2747,A,13297.35,67816.5,158238.5,70.0
36,Пальто шерсятное двубортное с поясом,2173,1,11.0,223125.0,0.5285,33.8032,A,20284.09,66937.5,156187.5,70.0
37,Жакет прямого кроя с карманами сливочно-желтый,2308,1,25.0,219180.0,0.5192,34.3224,A,8767.2,65754.0,153426.0,70.0
38,Джемпер чешуйки двусторонний морская волна,910,1,42.0,218624.0,0.5179,34.8403,A,5205.33,65587.2,153036.8,70.0
39,Джемпер авангард жаккард,"2626, 2637, 2726, 2727, 2747",5,35.0,217630.0,0.5155,35.3558,A,6218.0,65289.0,152341.0,70.0
40,Джемпер ромашки,"1119, 860, 861, 874, 926",5,42.0,217220.0,0.5145,35.8703,A,5171.9,65166.0,152054.0,70.0
41,Пальто-жакет женский,"2595, 2596, 2598",3,16.0,214188.0,0.5074,36.3777,A,13386.75,64256.4,149931.6,70.0
42,Худи женское с капюшоном,"1178, 1179, 1180, 1184, 1291",5,47.0,210680.0,0.4991,36.8767,A,4482.55,63204.0,147476.0,70.0
43,Джемпер незабудки женский шоколад с голубым,1210,1,39.0,209540.0,0.4964,37.3731,A,5372.82,62862.0,146678.0,70.0
44,Брюки палаццо искусственный шелк,"2206, 2207, 2208",3,47.0,208490.0,0.4939,37.867,A,4435.96,62547.0,145943.0,70.0
45,Платье ариэль макси искусственный шелк,"2198, 2199, 2200, 2215, 2243",5,38.0,204824.0,0.4852,38.3521,A,5390.11,61447.2,143376.8,70.0
46,Платье трикотажное ажур колоски макси,"2402, 2447, 2448, 2464, 2468",5,25.0,199960.0,0.4737,38.8258,A,7998.4,59988.0,139972.0,70.0
47,Рубашка хлопок,"2287, 2299, 2314, 2315, 2386, 666, 672, 839",8,48.0,198688.0,0.4706,39.2964,A,4139.33,59606.4,139081.6,70.0
48,Тренч женский олива,916,1,18.0,194480.0,0.4607,39.7571,A,10804.44,58344.0,136136.0,70.0
49,Парка английская олива с принтом зебра,2283,1,18.0,193200.0,0.4576,40.2148,A,10733.33,57960.0,135240.0,70.0
50,Джемпер женский софи,"2566, 2570, 2571, 2572",4,32.0,185916.0,0.4404,40.6552,A,5809.88,55774.8,130141.2,70.0
51,Свитер базовый шерсть,"1015, 1072, 1073, 2020",4,50.0,185378.0,0.4391,41.0943,A,3707.56,55613.4,129764.6,70.0
52,Кардиган leo жаккард,"678, 679, 693, 772",4,34.0,184982.0,0.4382,41.5325,A,5440.65,55494.6,129487.4,70.0
53,Лонгслив трикотажный ажур листочки,"2441, 2443, 2450, 2471",4,31.0,182626.0,0.4326,41.9651,A,5891.16,54787.8,127838.2,70.0
54,Джемпер мужской грибочки,"2034, 2330, 2334",3,27.0,178860.0,0.4237,42.3888,A,6624.44,53658.0,125202.0,70.0
55,Куртка стеганая женская,"1117, 2101",2,28.0,178400.0,0.4226,42.8113,A,6371.43,53520.0,124880.0,70.0
56,Юбка трикотажная прямая шерсть макси,"2132, 2143, 2187, 2194, 2197, 2244, 2248, 2686",8,43.0,176700.0,0.4186,43.2299,A,4109.3,53010.0,123690.0,70.0
57,Кардиган оверсайз интерлок,"2602, 2604, 2663, 2668, 2680",5,24.0,173840.0,0.4118,43.6417,A,7243.33,52152.0,121688.0,70.0
58,Манишка на завязках с воротом шерсть,"2224, 2232, 2246, 2277, 2318, 2327, 2412",7,46.0,173708.0,0.4115,44.0532,A,3776.26,52112.4,121595.6,70.0
59,Футболка трикотажная ажур листочки,"2439, 2444, 2445, 2484",4,30.0,173422.0,0.4108,44.464,A,5780.73,52026.6,121395.4,70.0
