позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
1,1188,Рубашка джинсовая женская хаки джинсовая,tops_blouses,59.0,321419.9,0.7614,0.7614,A,5447.79,96425.97,224993.93,70.0
2,1212,Рубашка из тенсела женская розовый,tops_blouses,65.0,310482.0,0.7355,1.4968,A,4776.65,93144.6,217337.4,70.0
3,2067,Бомбер женский серый,outerwear,18.0,231280.0,0.5479,2.0447,A,12848.89,69384.0,161896.0,70.0
4,2070,Бомбер женский изумрудный в клетку,outerwear,17.0,226055.0,0.5355,2.5802,A,13297.35,67816.5,158238.5,70.0
5,2173,Пальто шерсятное двубортное с поясом тауп,outerwear,11.0,223125.0,0.5285,3.1087,A,20284.09,66937.5,156187.5,70.0
6,2308,Жакет прямого кроя с карманами сливочно-желтый,jackets_blazers,25.0,219180.0,0.5192,3.6279,A,8767.2,65754.0,153426.0,70.0
7,910,Джемпер Чешуйки двусторонний морская волна,knitwear,42.0,218624.0,0.5179,4.1458,A,5205.33,65587.2,153036.8,70.0
8,1210,Джемпер Незабудки женский шоколад с голубым,knitwear,39.0,209540.0,0.4964,4.6421,A,5372.82,62862.0,146678.0,70.0
9,1223,Рубашка женская из тенсела синий,tops_blouses,40.0,201479.0,0.4773,5.1194,A,5036.98,60443.7,141035.3,70.0
10,2435,Юбка трикотажная ажур Листочки ваниль,skirts,34.0,197106.0,0.4669,5.5863,A,5797.24,59131.8,137974.2,70.0
11,916,Тренч женский олива,outerwear,18.0,194480.0,0.4607,6.0469,A,10804.44,58344.0,136136.0,70.0
12,2283,Парка английская олива с принтом зебра,outerwear,18.0,193200.0,0.4576,6.5046,A,10733.33,57960.0,135240.0,70.0
13,2134,Пальто шерстяное двубортное с поясом серый,outerwear,9.0,179550.0,0.4253,6.9299,A,19950.0,53865.0,125685.0,70.0
14,1154,Джемпер Чешуйки оверсайз серо-розовый,knitwear,28.0,178210.0,0.4221,7.3521,A,6364.64,53463.0,124747.0,70.0
15,1224,Рубашка женская из тенсела молочный,tops_blouses,39.0,177100.0,0.4195,7.7716,A,4541.03,53130.0,123970.0,70.0
16,1171,Куртка стеганая женская олива,outerwear,24.0,170255.0,0.4033,8.1749,A,7093.96,51076.5,119178.5,70.0
17,2573,Бомбер женский серый с трикотажными резинками,outerwear,13.0,167820.0,0.3975,8.5724,A,12909.23,50346.0,117474.0,70.0
18,2637,Джемпер Авангард жаккард маренго-слива,knitwear,25.0,164906.0,0.3906,8.963,A,6596.24,49471.8,115434.2,70.0
19,992,Тренч женский лайм,outerwear,16.0,161280.0,0.382,9.345,A,10080.0,48384.0,112896.0,70.0
20,2099,Куртка стеганая женская графит,outerwear,21.0,159718.0,0.3783,9.7234,A,7605.62,47915.4,111802.6,70.0
21,2598,Пальто-жакет женский гусиная лапка хаки,outerwear,12.0,158984.0,0.3766,10.1,A,13248.67,47695.2,111288.8,70.0
22,911,Джемпер Чешуйки двусторонний розовый,knitwear,29.0,155912.0,0.3693,10.4693,A,5376.28,46773.6,109138.4,70.0
23,1132,Джемпер Сердечки розовый,knitwear,25.0,151140.0,0.358,10.8273,A,6045.6,45342.0,105798.0,70.0
24,2036,Рубашка женская из тенсела бежевая,tops_blouses,29.0,150860.0,0.3574,11.1847,A,5202.07,45258.0,105602.0,70.0
25,1211,Джемпер Незабудки женский беж,knitwear,27.0,150678.0,0.3569,11.5416,A,5580.67,45203.4,105474.6,70.0
26,2574,Бомбер женский тауп с трикотажными резинками,outerwear,11.0,146372.0,0.3467,11.8883,A,13306.55,43911.6,102460.4,70.0
27,2069,Бомбер женский морковный в клетку,outerwear,12.0,146064.0,0.346,12.2343,A,12172.0,43819.2,102244.8,70.0
