model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Шапка взрослая,accessories,68,"1040, 1041, 1131, 1145, 1163, 1189, 1204, 1226, 2126, 2142, 2167, 217, 218, 219, 221, 222, 223, 224, 225, 226, 228, 229, 231, 2317, 232, 235, 237, 238, 2387, 239, 240, 241, 242, 246, 2631, 2653, 274, 2850, 326, 327, 344, 346, 363, 372, 380, 483, 492, 493, 509, 533, 554, 558, 559, 560, 578, 579, 599, 748, 750, 751, 761, 833, 845, 846, 878, 881, 888, 893",68,черный,4.47,1050.0,1212108.6,2.8712,1154.39,363632.58,848476.02,70.0,448.0,488552.6,24,87.63,X,A,AX,395.0,321.8,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1227.69,2.8712
Рубашка женская из тенсела,tops_blouses,10,"1202, 1223, 1224, 2035, 2036, 2043, 2049, 2682, 2683, 2789",10,синий,20.09,201.0,1002936.0,2.3757,4989.73,300880.8,702055.2,70.0,46.0,250652.0,24,97.47,X,A,AX,17.0,134.9,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,5870.0,5.247
Джемпер чешуйки оверсайз,knitwear,10,"1042, 1152, 1154, 1177, 1227, 1290, 2078, 2144, 2260, 2261",10,серо-розовый,30.91,89.0,576574.0,1.3658,6478.36,172972.2,403601.8,70.0,15.0,85324.0,18,103.35,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,6.6127
Джемпер женский грибочки,knitwear,13,"1014, 1192, 2088, 2091, 2229, 2326, 2335, 2560, 2561, 2562, 2564, 983, 985",12,маренго - лосось,25.26,103.0,572722.0,1.3567,5560.41,171816.6,400905.4,70.0,53.0,287892.0,20,91.26,X,A,AX,25.0,172.2,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6600.0,7.9694
Футболка трикотажная косичка,tshirts_longsleeves,17,"1273, 1274, 1275, 1276, 1285, 1333, 2085, 2086, 2087, 2290, 2462, 2481, 2482, 2487, 2497, 2498, 2523",17,ванильный,15.46,232.0,560170.0,1.3269,2414.53,168051.0,392119.0,70.0,138.0,315826.0,23,67.42,X,A,AX,90.0,238.0,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1500.0,9.2963
Рубашка джинсовая женская,tops_blouses,4,"1188, 1228, 1229, 2438",4,хаки в пятнышко,61.33,100.0,518723.9,1.2287,5187.24,155617.17,363106.73,70.0,4.0,21870.0,14,165.27,Y,A,AY,-1.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,10.525
Бомбер женский,outerwear,5,"2067, 2071, 2073, 2084, 2123",5,серый,47.03,40.0,491816.0,1.165,12295.4,147544.8,344271.2,70.0,13.0,134200.0,9,201.74,Y,A,AY,-1.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",14800.0,11.69
Свитер кострома,knitwear,13,"1091, 1107, 1122, 1124, 2139, 2160, 2284, 525, 526, 527, 531, 543, 777",13,бургунди,20.81,129.0,462492.41,1.0955,3585.21,138747.72,323744.69,70.0,44.0,165506.41,19,109.82,X,A,AX,9.0,74.7,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4200.0,12.7856
Шапка взрослая шерсть,accessories,28,"1027, 1028, 1030, 1118, 2171, 2180, 2181, 2190, 2216, 2234, 2235, 2258, 244, 245, 2548, 2709, 2762, 322, 364, 365, 397, 737, 769, 778, 782, 786, 796, 809",28,молочный,9.56,287.0,446831.98,1.0584,1556.91,134049.59,312782.39,70.0,121.0,169121.98,17,138.76,X,A,AX,162.0,488.7,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1600.0,13.844
Шарф взрослый,accessories,39,"1026, 1031, 1034, 1087, 1143, 2108, 2109, 2127, 2159, 2350, 250, 252, 253, 254, 255, 256, 259, 260, 262, 264, 267, 2671, 270, 271, 272, 273, 2826, 391, 392, 393, 394, 395, 402, 422, 430, 561, 562, 607, 732",39,маренго,8.37,203.0,446327.0,1.0572,2198.66,133898.1,312428.9,70.0,73.0,163546.0,23,121.52,X,A,AX,141.0,705.0,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,2594.87,14.9013
Тренч женский,outerwear,5,"1022, 866, 891, 917, 992",5,лайм,37.29,44.0,432514.0,1.0245,9829.86,129754.2,302759.8,70.0,9.0,102820.0,11,164.4,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",11066.67,15.9258
Юбка мерилин из тенсела,skirts,8,"2724, 2734, 2735, 2736, 2748, 2863, 2864, 2865",8,сливовый,22.32,57.0,430882.0,1.0207,7559.33,129264.6,301617.4,70.0,57.0,430882.0,4,249.04,Y,A,AY,59.0,377.8,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",8200.0,16.9465
Палантин трикотажный листочки,accessories,11,"1104, 1157, 1158, 2092, 2146, 2250, 2253, 2254, 2348, 2351, 2352",11,маренго-бежевый,21.23,126.0,426183.99,1.0095,3382.41,127855.2,298328.79,70.0,38.0,155154.0,21,129.15,X,A,AX,4.0,38.4,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4600.0,17.956
Юбка трикотажная ажур листочки,skirts,5,"2400, 2435, 2437, 2440, 2467",5,ванильный,46.04,71.0,415562.0,0.9844,5852.99,124668.6,290893.4,70.0,71.0,415562.0,8,181.9,Y,A,AY,25.0,128.5,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,18.9404
Джемпер сердечки,knitwear,5,"1132, 1153, 1159, 1160, 2298",5,розовый с красным,36.4,72.0,415268.0,0.9837,5767.61,124580.4,290687.6,70.0,11.0,62170.0,18,93.09,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,5566.0,19.9241
Джемпер грибочки мужской,knitwear,7,"1148, 1165, 1234, 2089, 2090, 2563, 2565",7,маренго-желтый,34.34,61.0,402266.0,0.9529,6594.52,120679.8,281586.2,70.0,14.0,81980.0,17,117.6,X,A,AX,1.0,26.1,understock,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,7200.0,20.8769
Брюки трикотаж,pants,9,"1061, 1112, 481, 515, 516, 551, 81, 82, 88",9,маренго,20.66,109.0,396082.0,0.9382,3633.78,118824.6,277257.4,70.0,34.0,132310.0,20,110.37,X,A,AX,44.0,472.4,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4600.0,21.8152
Джинсы-бананы,pants,5,"2282, 2305, 2328, 2539, 753",5,графит,33.78,61.0,364242.6,0.8628,5971.19,109272.78,254969.82,70.0,53.0,319040.0,14,134.86,X,A,AX,4.0,27.5,understock,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6400.0,22.678
Рубашка из тенсела женская,tops_blouses,1,1212,1,розовый,100.0,65.0,310482.0,0.7355,4776.65,93144.6,217337.4,70.0,3.0,16240.0,12,164.6,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5800.0,23.4134
Брюки классика вискоза,pants,3,"2331, 2333, 2357",3,сливочно-желтый,38.46,54.0,297988.0,0.7059,5518.3,89396.4,208591.6,70.0,53.0,292188.0,12,148.66,X,A,AX,12.0,82.6,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,5800.0,24.1193
Кардиган чешуйки жаккард,knitwear,5,"2053, 2076, 2077, 2106, 2189",5,черно-бежевый,42.22,47.0,289640.0,0.6861,6162.55,86892.0,202748.0,70.0,11.0,59340.0,11,137.08,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,24.8054
