model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Юбка трикотажная софи изумруд макси,skirts,1,2615,1,изумруд,100.0,3.0,17794.0,0.0422,5931.33,5338.2,12455.8,70.0,3.0,17794.0,2,351.19,Z,C,CZ,6.0,730.0,overstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,6200.0,95.0585
Джемпер ирония судьбы розовый с изумрудной полосой,knitwear,1,2710,1,изумруд-розовый,100.0,3.0,17760.0,0.0421,5920.0,5328.0,12432.0,70.0,3.0,17760.0,3,264.58,Z,C,CZ,5.0,608.3,overstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,6600.0,95.1006
Юбка вискоза миди синяя в цветок,skirts,1,903,1,сине-белый-черный,100.0,7.0,17600.0,0.0417,2514.29,5280.0,12320.0,70.0,0.0,0.0,4,251.93,Z,C,CZ,6.0,,deadstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,1700.0,95.1423
Юбка трикотажная прямая серо-лавандовый миди,skirts,2,"2588, 2739",2,серо-лавандовый,81.17,5.0,17556.0,0.0416,3511.2,5266.8,12289.2,70.0,5.0,17556.0,4,239.17,Y,C,CY,7.0,511.0,overstock,reduce_tail,clearance_or_exit,Слабый хвост: сокращать глубину и аккуратно распродавать.,3800.0,95.1838
Шапка взрослая шерсть лавандово-голубой,accessories,1,1033,1,ярко-голубой,100.0,11.0,17496.0,0.0414,1590.55,5248.8,12247.2,70.0,5.0,6776.0,4,274.39,Z,C,CZ,7.0,511.0,overstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,1600.0,95.2253
Юбка трикотажная косичка макси а-силуэт,skirts,1,2489,1,горький шоколад,100.0,4.0,17383.3,0.0412,4345.82,5214.99,12168.31,70.0,4.0,17383.3,4,223.61,Y,C,CY,10.0,912.5,overstock,reduce_tail,clearance_or_exit,Слабый хвост: сокращать глубину и аккуратно распродавать.,3800.0,95.2665
Платье тонкое трикотажное косичка макси синий,dresses,1,2506,1,темно-синий,100.0,3.0,17252.0,0.0409,5750.67,5175.6,12076.4,70.0,3.0,17252.0,3,264.58,Z,C,CZ,7.0,851.7,overstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,6400.0,95.3073
Юбка трикотажная прямая полынь макси,skirts,1,2153,1,полынь,100.0,5.0,17240.0,0.0408,3448.0,5172.0,12068.0,70.0,2.0,7220.0,4,239.17,Y,C,CY,0.0,,stockout,reduce_tail,clearance_or_exit,Слабый хвост: сокращать глубину и аккуратно распродавать.,3800.0,95.3482
Юбка прямая жатая с кружевом миди бежевый,skirts,1,2917,1,ванильно-шоколадный,100.0,3.0,17050.0,0.0404,5683.33,5115.0,11935.0,70.0,3.0,17050.0,1,479.58,Z,C,CZ,9.0,1095.0,overstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,6200.0,95.3886
Палантин полимаркет в полоску,accessories,2,"2592, 2593",2,полынно-горчичный,66.67,3.0,16800.0,0.0398,5600.0,5040.0,11760.0,70.0,3.0,16800.0,1,479.58,Z,C,CZ,2.0,243.3,overstock,exit_clearance,clearance_or_exit,Кандидат на вывод или жёсткую распродажу.,5600.0,95.4283
