model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Шапка взрослая,accessories,68,"1040, 1041, 1131, 1145, 1163, 1189, 1204, 1226, 2126, 2142, 2167, 217, 218, 219, 221, 222, 223, 224, 225, 226, 228, 229, 231, 2317, 232, 235, 237, 238, 2387, 239, 240, 241, 242, 246, 2631, 2653, 274, 2850, 326, 327, 344, 346, 363, 372, 380, 483, 492, 493, 509, 533, 554, 558, 559, 560, 578, 579, 599, 748, 750, 751, 761, 833, 845, 846, 878, 881, 888, 893",68,черный,4.47,1050.0,1212108.6,2.8712,1154.39,363632.58,848476.02,70.0,448.0,488552.6,24,87.63,X,A,AX,395.0,321.8,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1227.69,2.8712
Рубашка женская из тенсела,tops_blouses,10,"1202, 1223, 1224, 2035, 2036, 2043, 2049, 2682, 2683, 2789",10,синий,20.09,201.0,1002936.0,2.3757,4989.73,300880.8,702055.2,70.0,46.0,250652.0,24,97.47,X,A,AX,17.0,134.9,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,5870.0,5.247
Джемпер женский грибочки,knitwear,13,"1014, 1192, 2088, 2091, 2229, 2326, 2335, 2560, 2561, 2562, 2564, 983, 985",12,маренго - лосось,25.26,103.0,572722.0,1.3567,5560.41,171816.6,400905.4,70.0,53.0,287892.0,20,91.26,X,A,AX,25.0,172.2,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6600.0,7.9694
Футболка трикотажная косичка,tshirts_longsleeves,17,"1273, 1274, 1275, 1276, 1285, 1333, 2085, 2086, 2087, 2290, 2462, 2481, 2482, 2487, 2497, 2498, 2523",17,ванильный,15.46,232.0,560170.0,1.3269,2414.53,168051.0,392119.0,70.0,138.0,315826.0,23,67.42,X,A,AX,90.0,238.0,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1500.0,9.2963
Шапка взрослая шерсть,accessories,28,"1027, 1028, 1030, 1118, 2171, 2180, 2181, 2190, 2216, 2234, 2235, 2258, 244, 245, 2548, 2709, 2762, 322, 364, 365, 397, 737, 769, 778, 782, 786, 796, 809",28,молочный,9.56,287.0,446831.98,1.0584,1556.91,134049.59,312782.39,70.0,121.0,169121.98,17,138.76,X,A,AX,162.0,488.7,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1600.0,13.844
Шарф взрослый,accessories,39,"1026, 1031, 1034, 1087, 1143, 2108, 2109, 2127, 2159, 2350, 250, 252, 253, 254, 255, 256, 259, 260, 262, 264, 267, 2671, 270, 271, 272, 273, 2826, 391, 392, 393, 394, 395, 402, 422, 430, 561, 562, 607, 732",39,маренго,8.37,203.0,446327.0,1.0572,2198.66,133898.1,312428.9,70.0,73.0,163546.0,23,121.52,X,A,AX,141.0,705.0,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,2594.87,14.9013
Юбка мерилин из тенсела,skirts,8,"2724, 2734, 2735, 2736, 2748, 2863, 2864, 2865",8,сливовый,22.32,57.0,430882.0,1.0207,7559.33,129264.6,301617.4,70.0,57.0,430882.0,4,249.04,Y,A,AY,59.0,377.8,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",8200.0,16.9465
Юбка трикотажная ажур листочки,skirts,5,"2400, 2435, 2437, 2440, 2467",5,ванильный,46.04,71.0,415562.0,0.9844,5852.99,124668.6,290893.4,70.0,71.0,415562.0,8,181.9,Y,A,AY,25.0,128.5,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,18.9404
Брюки трикотаж,pants,9,"1061, 1112, 481, 515, 516, 551, 81, 82, 88",9,маренго,20.66,109.0,396082.0,0.9382,3633.78,118824.6,277257.4,70.0,34.0,132310.0,20,110.37,X,A,AX,44.0,472.4,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4600.0,21.8152
Джемпер в рубчик укороченный,knitwear,11,"1237, 1238, 1239, 1240, 1241, 1301, 1302, 1320, 1324, 2061, 2136",11,лимонно-желтый,18.92,117.0,281514.1,0.6668,2406.1,84454.23,197059.87,70.0,47.0,91823.1,22,110.2,X,A,AX,33.0,256.3,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1500.0,26.8238
Шорты льняные,pants,6,"1322, 1323, 2032, 2037, 2046, 694",6,тауп,36.53,64.0,278926.0,0.6607,4358.22,83677.8,195248.2,70.0,9.0,41218.0,9,226.47,Y,A,AY,3.0,121.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5266.67,27.4845
Блуза с воротом стойка из тенсела,tops_blouses,7,"2641, 2642, 2656, 2694, 2695, 2701, 2704",7,винный,25.76,46.0,278065.0,0.6587,6044.89,83419.5,194645.5,70.0,46.0,278065.0,6,257.33,Z,A,AZ,28.0,222.2,overstock,fashion_core,reduce_depth_keep_model,"Сильная по выручке, но нестабильная модель: использовать как fashion-driver с ограниченным риском.",6500.0,28.1432
Жилет льняной,knitwear,7,"1326, 1327, 1328, 2029, 2039, 2042, 2045",7,синий,28.04,58.0,240758.0,0.5703,4151.0,72227.4,168530.6,70.0,8.0,34498.0,8,247.39,Y,A,AY,3.0,136.9,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",4600.0,30.5329
Брюки палаццо льняные,pants,7,"1337, 1341, 2031, 2044, 685, 687, 974",7,зеленый,36.2,44.0,238460.0,0.5649,5419.55,71538.0,166922.0,70.0,9.0,49786.0,11,175.1,Y,A,AY,8.0,324.4,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5265.71,31.0978
Джемпер джеки интерлок,knitwear,7,"1052, 1149, 211, 2128, 2251, 2259, 2273",7,оранжевый,24.79,44.0,232356.0,0.5504,5280.82,69706.8,162649.2,70.0,22.0,123166.0,16,91.11,X,A,AX,9.0,149.3,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6200.0,31.6482
Жакет прямого кроя с карманами,jackets_blazers,2,"2332, 2415",2,эвкалиптовый,61.89,26.0,228836.0,0.5421,8801.38,68650.8,160185.2,70.0,26.0,228836.0,10,145.75,X,A,AX,13.0,182.5,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,9200.0,32.7392
Джемпер чешуйки двусторонний морская волна,knitwear,1,910,1,морская волна-белый,100.0,42.0,218624.0,0.5179,5205.33,65587.2,153036.8,70.0,19.0,79624.0,19,107.22,X,A,AX,7.0,134.5,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4340.0,34.8403
Джемпер авангард жаккард,knitwear,5,"2626, 2637, 2726, 2727, 2747",5,маренго-слива,75.77,35.0,217630.0,0.5155,6218.0,65289.0,152341.0,70.0,35.0,217630.0,5,239.17,Y,A,AY,26.0,271.1,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",7200.0,35.3558
Платье ариэль макси искусственный шелк,dresses,5,"2198, 2199, 2200, 2215, 2243",5,шоколадный,31.46,38.0,204824.0,0.4852,5390.11,61447.2,143376.8,70.0,21.0,99474.0,14,192.02,Y,A,AY,13.0,226.0,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",3500.0,38.3521
Платье трикотажное ажур колоски макси,dresses,5,"2402, 2447, 2448, 2464, 2468",5,липовый,28.87,25.0,199960.0,0.4737,7998.4,59988.0,139972.0,70.0,25.0,199960.0,9,188.93,Y,A,AY,17.0,248.2,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",8400.0,38.8258
Лонгслив трикотажный ажур листочки,tshirts_longsleeves,4,"2441, 2443, 2450, 2471",4,ванильный,44.41,31.0,182626.0,0.4326,5891.16,54787.8,127838.2,70.0,31.0,182626.0,8,160.35,Y,A,AY,19.0,223.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,41.9651
