model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Джемпер чешуйки оверсайз,knitwear,10,"1042, 1152, 1154, 1177, 1227, 1290, 2078, 2144, 2260, 2261",10,серо-розовый,30.91,89.0,576574.0,1.3658,6478.36,172972.2,403601.8,70.0,15.0,85324.0,18,103.35,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,6.6127
Рубашка джинсовая женская,tops_blouses,4,"1188, 1228, 1229, 2438",4,хаки в пятнышко,61.33,100.0,518723.9,1.2287,5187.24,155617.17,363106.73,70.0,4.0,21870.0,14,165.27,Y,A,AY,-1.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,10.525
Бомбер женский,outerwear,5,"2067, 2071, 2073, 2084, 2123",5,серый,47.03,40.0,491816.0,1.165,12295.4,147544.8,344271.2,70.0,13.0,134200.0,9,201.74,Y,A,AY,-1.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",14800.0,11.69
Свитер кострома,knitwear,13,"1091, 1107, 1122, 1124, 2139, 2160, 2284, 525, 526, 527, 531, 543, 777",13,бургунди,20.81,129.0,462492.41,1.0955,3585.21,138747.72,323744.69,70.0,44.0,165506.41,19,109.82,X,A,AX,9.0,74.7,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4200.0,12.7856
Тренч женский,outerwear,5,"1022, 866, 891, 917, 992",5,лайм,37.29,44.0,432514.0,1.0245,9829.86,129754.2,302759.8,70.0,9.0,102820.0,11,164.4,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",11066.67,15.9258
Палантин трикотажный листочки,accessories,11,"1104, 1157, 1158, 2092, 2146, 2250, 2253, 2254, 2348, 2351, 2352",11,маренго-бежевый,21.23,126.0,426183.99,1.0095,3382.41,127855.2,298328.79,70.0,38.0,155154.0,21,129.15,X,A,AX,4.0,38.4,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4600.0,17.956
Джемпер сердечки,knitwear,5,"1132, 1153, 1159, 1160, 2298",5,розовый с красным,36.4,72.0,415268.0,0.9837,5767.61,124580.4,290687.6,70.0,11.0,62170.0,18,93.09,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,5566.0,19.9241
Джемпер грибочки мужской,knitwear,7,"1148, 1165, 1234, 2089, 2090, 2563, 2565",7,маренго-желтый,34.34,61.0,402266.0,0.9529,6594.52,120679.8,281586.2,70.0,14.0,81980.0,17,117.6,X,A,AX,1.0,26.1,understock,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,7200.0,20.8769
Джинсы-бананы,pants,5,"2282, 2305, 2328, 2539, 753",5,графит,33.78,61.0,364242.6,0.8628,5971.19,109272.78,254969.82,70.0,53.0,319040.0,14,134.86,X,A,AX,4.0,27.5,understock,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6400.0,22.678
Рубашка из тенсела женская,tops_blouses,1,1212,1,розовый,100.0,65.0,310482.0,0.7355,4776.65,93144.6,217337.4,70.0,3.0,16240.0,12,164.6,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5800.0,23.4134
